entry,at,order
"The player ""Rick @ NctV0vf9uC"" passed the room ownership to ""Matt @ QgTA6OD2cP"".",2023-02-10T06:25:14.811Z,167601031481100
"The player ""Jack @ 9SB4G8Xzs0"" quits the game with a stack of 0.00.",2023-02-10T06:19:25.401Z,167600996540103
"The player ""Emily @ Cv51BSc-hD"" quits the game with a stack of 0.00.",2023-02-10T06:19:25.401Z,167600996540102
"The player ""Zach @ 0d09iha5xa"" quits the game with a stack of 0.00.",2023-02-10T06:19:25.401Z,167600996540101
"The player ""Rick @ NctV0vf9uC"" quits the game with a stack of 0.00.",2023-02-10T06:19:25.401Z,167600996540100
"-- ending hand #173 --",2023-02-10T06:19:23.841Z,167600996384104
"""Matt @ QgTA6OD2cP"" collected 37.98 from pot with Two Pair (combination: K♣, K♠, J♣, J♠, 10♣)",2023-02-10T06:19:23.841Z,167600996384103
"""Matt @ QgTA6OD2cP"" collected 2.79 from pot with Two Pair (combination: K♣, K♠, J♣, J♠, 10♣)",2023-02-10T06:19:23.841Z,167600996384102
"""Matt @ QgTA6OD2cP"" collected 37.64 from pot with Two Pair (combination: K♣, K♠, J♣, J♠, 10♣)",2023-02-10T06:19:23.841Z,167600996384101
"""Matt @ QgTA6OD2cP"" collected 23.80 from pot with Two Pair (combination: K♣, K♠, J♣, J♠, 10♣)",2023-02-10T06:19:23.841Z,167600996384100
"River: 4♦, J♣, 10♣, J♠ [6♦]",2023-02-10T06:19:19.809Z,167600995980900
"Turn: 4♦, J♣, 10♣ [J♠]",2023-02-10T06:19:15.804Z,167600995580400
"Flop:  [4♦, J♣, 10♣]",2023-02-10T06:19:11.719Z,167600995171900
"""Emily @ Cv51BSc-hD"" shows a Q♠, 8♣, Q♦, Q♥.",2023-02-10T06:19:07.714Z,167600994771403
"""Zach @ 0d09iha5xa"" shows a 9♦, 7♣, 10♠, 4♠.",2023-02-10T06:19:07.714Z,167600994771402
"""Jack @ 9SB4G8Xzs0"" shows a 2♠, 9♣, 5♦, A♣.",2023-02-10T06:19:07.714Z,167600994771401
"""Rick @ NctV0vf9uC"" shows a 8♠, 5♣, K♥, 2♦.",2023-02-10T06:19:07.714Z,167600994771400
"""Matt @ QgTA6OD2cP"" shows a K♣, 5♠, 7♠, K♠.",2023-02-10T06:19:07.017Z,167600994701700
"Some players choose to not run it twice.",2023-02-10T06:19:06.849Z,167600994684901
"""Rick @ NctV0vf9uC"" chooses to not run it twice.",2023-02-10T06:19:06.849Z,167600994684900
"Remaining players decide whether to run it twice.",2023-02-10T06:19:04.992Z,167600994499201
"""Matt @ QgTA6OD2cP"" raises to 34.09",2023-02-10T06:19:04.992Z,167600994499200
"""Jack @ 9SB4G8Xzs0"" calls 14.17 and go all in",2023-02-10T06:18:57.300Z,167600993730000
"""Rick @ NctV0vf9uC"" raises to 34.09 and go all in",2023-02-10T06:18:56.162Z,167600993616200
"The admin ""Rick @ NctV0vf9uC"" rejected the seat request from the player ""Patrick @ 4e1BobYvCd"".",2023-02-10T06:18:51.246Z,167600993124600
"The player ""Patrick @ 4e1BobYvCd"" requested a seat.",2023-02-10T06:18:45.527Z,167600992552700
"""Emily @ Cv51BSc-hD"" raises to 15.10 and go all in",2023-02-10T06:18:44.754Z,167600992475400
"""Zach @ 0d09iha5xa"" raises to 4.76 and go all in",2023-02-10T06:18:26.720Z,167600990672000
"""Matt @ QgTA6OD2cP"" raises to 1.98",2023-02-10T06:18:24.348Z,167600990434800
"""Jack @ 9SB4G8Xzs0"" raises to 0.58",2023-02-10T06:18:21.887Z,167600990188700
"""Rick @ NctV0vf9uC"" raises to 0.17",2023-02-10T06:18:19.820Z,167600989982000
"""Emily @ Cv51BSc-hD"" posts a big blind of 0.05",2023-02-10T06:18:16.449Z,167600989644910
"""Zach @ 0d09iha5xa"" posts a small blind of 0.02",2023-02-10T06:18:16.449Z,167600989644909
"Player stacks: #1 ""Rick @ NctV0vf9uC"" (34.09) | #2 ""Jack @ 9SB4G8Xzs0"" (14.17) | #4 ""Matt @ QgTA6OD2cP"" (35.81) | #9 ""Zach @ 0d09iha5xa"" (4.76) | #10 ""Emily @ Cv51BSc-hD"" (15.10)",2023-02-10T06:18:16.449Z,167600989644903
"-- starting hand #173 (id: vonjtngiibhr)  (Pot Limit Omaha Hi) (dead button) --",2023-02-10T06:18:16.449Z,167600989644902
"The player ""Patrick @ 4e1BobYvCd"" quits the game with a stack of 0.00.",2023-02-10T06:18:16.449Z,167600989644901
"The player ""andy @ jtCtnyHTSX"" quits the game with a stack of 0.00.",2023-02-10T06:18:16.449Z,167600989644900
"-- ending hand #172 --",2023-02-10T06:17:55.922Z,167600987592207
"""Matt @ QgTA6OD2cP"" collected 7.24 from pot with One Pair (combination: 6♥, 6♠, A♥, K♠, J♠)",2023-02-10T06:17:55.922Z,167600987592206
"""Jack @ 9SB4G8Xzs0"" collected 7.24 from pot with One Pair (combination: 6♥, 6♠, A♥, K♣, J♦)",2023-02-10T06:17:55.922Z,167600987592205
